X,Y,Z
-0.06411,3.600755,4.500691
-0.058262,3.585377,4.495775
-0.063197,3.583979,4.497138
-0.053811,3.588192,4.495126
-0.05028,3.59215,4.495253
-0.048014,3.596865,4.496144
-0.047235,3.601875,4.497713
-0.048019,3.606688,4.499805
-0.05029,3.610834,4.502215
-0.053825,3.613907,4.504709
-0.058278,3.615607,4.507041
-0.063214,3.615766,4.508984
-0.068149,3.614369,4.510347
-0.0726,3.611553,4.510997
-0.076131,3.607595,4.510869
-0.078397,3.60288,4.509977
-0.079176,3.597871,4.50841
-0.078392,3.593057,4.506317
-0.076121,3.588911,4.503906
-0.072585,3.585839,4.501412
-0.068132,3.584139,4.49908
-0.051177,3.569736,4.496081
-0.060564,3.56708,4.498673
-0.042711,3.575092,4.494846
-0.035995,3.582622,4.495088
-0.031684,3.59159,4.496784
-0.030203,3.601118,4.499767
-0.031695,3.610274,4.503747
-0.036014,3.61816,4.508333
-0.042738,3.624005,4.513075
-0.051209,3.627237,4.517511
-0.060597,3.627541,4.521206
-0.069984,3.624884,4.523799
-0.07845,3.619529,4.525034
-0.085166,3.611999,4.524792
-0.089477,3.603031,4.523096
-0.090958,3.593503,4.520112
-0.089466,3.584347,4.516133
-0.085147,3.576461,4.511547
-0.078423,3.570616,4.506805
-0.069952,3.567383,4.502368
-0.04355,3.555367,4.501579
-0.056469,3.551711,4.505147
-0.031898,3.562738,4.499879
-0.022653,3.573103,4.500212
-0.01672,3.585447,4.502547
-0.014681,3.59856,4.506653
-0.016734,3.611161,4.512131
-0.022679,3.622016,4.518442
-0.031935,3.630061,4.524971
-0.043594,3.634511,4.531076
-0.056515,3.634927,4.536162
-0.069435,3.631272,4.53973
-0.081087,3.6239,4.54143
-0.090332,3.613535,4.541097
-0.096264,3.601192,4.538762
-0.098304,3.588078,4.534656
-0.09625,3.575477,4.529178
-0.090305,3.564622,4.522867
-0.08105,3.556577,4.516339
-0.069391,3.552128,4.510233
-0.036126,3.543674,4.511732
-0.051314,3.539377,4.515926
-0.022428,3.55234,4.509733
-0.01156,3.564524,4.510124
-0.004586,3.579035,4.512868
-0.002188,3.594451,4.517696
-0.004602,3.609265,4.524135
-0.011591,3.622025,4.531555
-0.022471,3.631484,4.53923
-0.036178,3.636714,4.546407
-0.051368,3.637203,4.552385
-0.066555,3.632906,4.55658
-0.080254,3.624241,4.558579
-0.091122,3.612056,4.558187
-0.098096,3.597545,4.555443
-0.100493,3.582129,4.550615
-0.098079,3.567315,4.544177
-0.09109,3.554555,4.536757
-0.08021,3.545097,4.529082
-0.066504,3.539866,4.521904
-0.029633,3.535804,4.525544
-0.045602,3.531285,4.529953
-0.01523,3.544915,4.523442
-0.003802,3.557727,4.523854
0.003531,3.572984,4.52674
0.006051,3.589194,4.531815
0.003513,3.60477,4.538586
-0.003836,3.618187,4.546387
-0.015275,3.628131,4.554456
-0.029687,3.633631,4.562004
-0.045659,3.634146,4.56829
-0.061628,3.629627,4.572699
-0.076031,3.620516,4.574801
-0.087459,3.607705,4.574389
-0.094792,3.592447,4.571505
-0.097312,3.576237,4.566428
-0.094774,3.560661,4.559658
-0.087425,3.547244,4.551857
-0.075985,3.537299,4.543787
-0.061574,3.531801,4.53624
-0.024706,3.532525,4.541664
-0.045602,3.531285,4.529953
-0.029633,3.535804,4.525544
-0.039893,3.528228,4.545858
-0.011007,3.541191,4.539665
-0.01523,3.544915,4.523442
-0.000139,3.553375,4.540057
-0.003802,3.557727,4.523854
0.006835,3.567886,4.5428
0.003531,3.572984,4.52674
0.009232,3.583302,4.547628
0.006051,3.589194,4.531815
0.006819,3.598116,4.554067
0.003513,3.60477,4.538586
-0.000171,3.610876,4.561487
-0.003836,3.618187,4.546387
-0.011051,3.620334,4.569161
-0.015275,3.628131,4.554456
-0.024757,3.625565,4.576339
-0.029687,3.633631,4.562004
-0.039947,3.626054,4.582318
-0.045659,3.634146,4.56829
-0.055135,3.621757,4.586512
-0.061628,3.629627,4.572699
-0.068833,3.613091,4.588511
-0.076031,3.620516,4.574801
-0.079701,3.600907,4.58812
-0.087459,3.607705,4.574389
-0.086675,3.586396,4.585375
-0.094792,3.592447,4.571505
-0.089072,3.57098,4.580547
-0.097312,3.576237,4.566428
-0.086658,3.556166,4.574109
-0.094774,3.560661,4.559658
-0.079669,3.543406,4.566689
-0.087425,3.547244,4.551857
-0.068789,3.533948,4.559013
-0.075985,3.537299,4.543787
-0.055083,3.528717,4.551836
-0.061574,3.531801,4.53624
