X,Y,Z
0.046091,3.463527,4.747272
0.051938,3.448174,4.742274
0.047003,3.44677,4.74363
0.056389,3.450993,4.741639
0.05992,3.454951,4.741786
0.062186,3.459661,4.742703
0.062966,3.464662,4.744298
0.062182,3.469464,4.746416
0.059911,3.473597,4.748848
0.056376,3.476656,4.751359
0.051923,3.478344,4.753701
0.046988,3.478493,4.755645
0.042054,3.477089,4.757001
0.037603,3.47427,4.757637
0.034072,3.470312,4.757489
0.031805,3.465602,4.756573
0.031026,3.460601,4.754978
0.03181,3.455799,4.752861
0.034081,3.451666,4.750427
0.037616,3.448606,4.747917
0.042068,3.446919,4.745574
0.059023,3.432533,4.742497
0.049637,3.429863,4.745077
0.067489,3.437895,4.741289
0.074205,3.445424,4.741569
0.078516,3.454382,4.743311
0.079998,3.463895,4.746346
0.078507,3.473028,4.750374
0.074188,3.480891,4.755002
0.067465,3.486711,4.759777
0.058995,3.48992,4.764231
0.049607,3.490203,4.767929
0.040221,3.487533,4.770509
0.031755,3.482171,4.771717
0.025038,3.474642,4.771437
0.020728,3.465683,4.769694
0.019246,3.456171,4.76666
0.020737,3.447037,4.762632
0.025056,3.439175,4.758004
0.031779,3.433355,4.753229
0.040249,3.430146,4.748775
0.066651,3.418134,4.747918
0.053732,3.41446,4.751469
0.078303,3.425514,4.746254
0.087548,3.435877,4.746641
0.093481,3.448209,4.749039
0.095521,3.4613,4.753215
0.093469,3.473872,4.758759
0.087524,3.484693,4.765129
0.07827,3.492704,4.771701
0.066613,3.497121,4.777833
0.053692,3.49751,4.782923
0.040773,3.493836,4.786474
0.029121,3.486456,4.788137
0.019876,3.476093,4.78775
0.013943,3.463762,4.785352
0.011903,3.45067,4.781177
0.013955,3.438097,4.775632
0.0199,3.427277,4.769262
0.029154,3.419266,4.76269
0.040812,3.41485,4.756558
0.074077,3.406389,4.758006
0.058889,3.402069,4.762181
0.087775,3.415064,4.756051
0.098643,3.427246,4.756505
0.105617,3.441742,4.759325
0.108015,3.457133,4.764234
0.105603,3.471912,4.770751
0.098615,3.484633,4.77824
0.087736,3.494051,4.785966
0.074031,3.499243,4.793173
0.058842,3.499701,4.799157
0.043655,3.495381,4.803331
0.029957,3.486705,4.805286
0.019089,3.474523,4.804832
0.012115,3.460027,4.802013
0.009716,3.444636,4.797104
0.012129,3.429857,4.790587
0.019117,3.417136,4.783098
0.029996,3.407719,4.775372
0.043701,3.402527,4.768164
0.080572,3.398445,4.771776
0.064604,3.393903,4.776164
0.094975,3.407568,4.76972
0.106403,3.420377,4.770197
0.113736,3.435618,4.773162
0.116258,3.451801,4.778323
0.113721,3.467341,4.785177
0.106373,3.480716,4.79305
0.094935,3.490618,4.801174
0.080525,3.496077,4.808752
0.064554,3.496559,4.815045
0.048585,3.492017,4.819433
0.034182,3.482894,4.821489
0.022755,3.470086,4.821012
0.015422,3.454843,4.818047
0.0129,3.438661,4.812885
0.015437,3.423121,4.806032
0.022784,3.409745,4.798158
0.034223,3.399843,4.790034
0.048633,3.394385,4.782456
0.085502,3.395081,4.787878
0.064604,3.393903,4.776164
0.080572,3.398445,4.771776
0.070316,3.390761,4.792051
0.099201,3.403757,4.785921
0.094975,3.407568,4.76972
0.110069,3.415939,4.786376
0.106403,3.420377,4.770197
0.117043,3.430435,4.789195
0.113736,3.435618,4.773162
0.119441,3.445826,4.794105
0.116258,3.451801,4.778323
0.117029,3.460605,4.800622
0.113721,3.467341,4.785177
0.110041,3.473326,4.808111
0.106373,3.480716,4.79305
0.099162,3.482743,4.815837
0.094935,3.490618,4.801174
0.085457,3.487935,4.823045
0.080525,3.496077,4.808752
0.070268,3.488393,4.829028
0.064554,3.496559,4.815045
0.055081,3.484073,4.833202
0.048585,3.492017,4.819433
0.041383,3.475397,4.835158
0.034182,3.482894,4.821489
0.030515,3.463215,4.834703
0.022755,3.470086,4.821012
0.023541,3.44872,4.831884
0.015422,3.454843,4.818047
0.021142,3.433329,4.826975
0.0129,3.438661,4.812885
0.023555,3.418549,4.820457
0.015437,3.423121,4.806032
0.030543,3.405828,4.812968
0.022784,3.409745,4.798158
0.041422,3.396411,4.805243
0.034223,3.399843,4.790034
0.055126,3.391219,4.798035
0.048633,3.394385,4.782456
0.088385,3.396626,4.804735
0.075466,3.392951,4.808286
0.100037,3.404006,4.803072
0.109282,3.414369,4.803458
0.115215,3.4267,4.805857
0.117255,3.439792,4.810032
0.115202,3.452364,4.815577
0.109258,3.463185,4.821947
0.100004,3.471196,4.828519
0.088346,3.475612,4.834651
0.075425,3.476002,4.83974
0.062507,3.472327,4.843291
0.050855,3.464947,4.844954
0.04161,3.454585,4.844567
0.035677,3.442253,4.842169
0.033637,3.429161,4.837993
0.035689,3.416589,4.832449
0.041633,3.405769,4.826079
0.050887,3.397758,4.819507
0.062545,3.393341,4.813375
0.088936,3.402929,4.820699
0.07955,3.400259,4.823279
0.097402,3.408291,4.81949
0.104119,3.41582,4.819771
0.10843,3.424779,4.821515
0.109912,3.434291,4.824548
0.108421,3.443425,4.828576
0.104102,3.451287,4.833205
0.097378,3.457107,4.837979
0.088909,3.460316,4.842433
0.079521,3.460599,4.846132
0.070135,3.45793,4.848711
0.061669,3.452567,4.84992
0.054952,3.445038,4.849639
0.050642,3.43608,4.847897
