X,Y,Z
-0.041995,3.341752,4.502435
-0.036148,3.32647,4.497225
-0.041083,3.325047,4.498561
-0.031697,3.329297,4.496628
-0.028166,3.333253,4.496831
-0.0259,3.33795,4.497813
-0.025121,3.342928,4.499477
-0.025905,3.3477,4.501661
-0.028175,3.351799,4.504151
-0.031709,3.354824,4.506703
-0.036162,3.356479,4.509069
-0.041098,3.356601,4.511015
-0.046032,3.355179,4.512352
-0.050483,3.352351,4.512947
-0.054014,3.348395,4.512745
-0.056281,3.343698,4.511764
-0.05706,3.33872,4.510099
-0.056276,3.333948,4.507915
-0.054006,3.329849,4.505425
-0.050471,3.326825,4.502872
-0.046018,3.325169,4.500508
-0.029064,3.310827,4.49723
-0.03845,3.308122,4.499773
-0.020598,3.316205,4.496096
-0.013881,3.323729,4.496481
-0.00957,3.332663,4.498348
-0.008088,3.342132,4.501513
-0.009579,3.351209,4.505668
-0.013898,3.359007,4.510405
-0.020621,3.36476,4.51526
-0.029091,3.367907,4.519758
-0.038478,3.368139,4.52346
-0.047865,3.365434,4.526002
-0.05633,3.360056,4.527136
-0.063047,3.352532,4.526752
-0.067358,3.343598,4.524885
-0.06884,3.334129,4.521719
-0.067349,3.325051,4.517565
-0.063031,3.317254,4.512828
-0.056307,3.311501,4.507974
-0.047837,3.308354,4.503474
-0.021436,3.296355,4.502451
-0.034355,3.292631,4.505951
-0.009784,3.303757,4.50089
-0.000538,3.314113,4.501421
0.005395,3.32641,4.503989
0.007435,3.339442,4.508347
0.005383,3.351936,4.514064
-0.000561,3.362668,4.520584
-0.009815,3.370587,4.527267
-0.021473,3.374919,4.533458
-0.034394,3.375238,4.538553
-0.047313,3.371515,4.542053
-0.058965,3.364112,4.543613
-0.06821,3.353756,4.543083
-0.074143,3.34146,4.540514
-0.076184,3.328427,4.536158
-0.074131,3.315933,4.530439
-0.068187,3.305201,4.52392
-0.058933,3.297282,4.517238
-0.047275,3.292951,4.511045
-0.014011,3.28447,4.512376
-0.029198,3.280093,4.51649
-0.000312,3.293172,4.51054
0.010556,3.305346,4.511165
0.017531,3.319802,4.514184
0.019929,3.335123,4.519307
0.017516,3.349811,4.526028
0.010529,3.362426,4.533692
-0.00035,3.371736,4.541548
-0.014054,3.376828,4.548828
-0.029244,3.377203,4.554817
-0.044431,3.372826,4.55893
-0.058129,3.364124,4.560765
-0.068997,3.35195,4.560142
-0.075972,3.337494,4.557122
-0.07837,3.322173,4.552001
-0.075958,3.307485,4.545278
-0.06897,3.29487,4.537614
-0.058091,3.28556,4.529758
-0.044387,3.280468,4.522479
-0.007515,3.276337,4.526034
-0.023483,3.271734,4.530359
0.006888,3.285486,4.524105
0.018316,3.298287,4.524759
0.025649,3.313486,4.527935
0.028171,3.329596,4.533321
0.025634,3.345039,4.540389
0.018287,3.358304,4.548447
0.006849,3.368093,4.556707
-0.007561,3.373446,4.564361
-0.023532,3.373842,4.570659
-0.0395,3.369239,4.574984
-0.053903,3.360089,4.576913
-0.065331,3.347288,4.576258
-0.072665,3.332089,4.573082
-0.075187,3.315979,4.567697
-0.07265,3.300536,4.560629
-0.065303,3.287271,4.552571
-0.053864,3.277482,4.54431
-0.039454,3.272129,4.536657
-0.002585,3.272749,4.542087
-0.023483,3.271734,4.530359
-0.007515,3.276337,4.526034
-0.017772,3.268373,4.546201
0.011113,3.281451,4.540253
0.006888,3.285486,4.524105
0.021982,3.293626,4.540875
0.018316,3.298287,4.524759
0.028956,3.308081,4.543896
0.025649,3.313486,4.527935
0.031355,3.323402,4.549018
0.028171,3.329596,4.533321
0.028942,3.33809,4.55574
0.025634,3.345039,4.540389
0.021955,3.350705,4.563403
0.018287,3.358304,4.548447
0.011076,3.360015,4.571259
0.006849,3.368093,4.556707
-0.002629,3.365107,4.578539
-0.007561,3.373446,4.564361
-0.017818,3.365482,4.584528
-0.023532,3.373842,4.570659
-0.033005,3.361105,4.588641
-0.0395,3.369239,4.574984
-0.046703,3.352403,4.590477
-0.053903,3.360089,4.576913
-0.057571,3.340229,4.589853
-0.065331,3.347288,4.576258
-0.064546,3.325773,4.586833
-0.072665,3.332089,4.573082
-0.066944,3.310452,4.581711
-0.075187,3.315979,4.567697
-0.064532,3.295764,4.574989
-0.07265,3.300536,4.560629
-0.057544,3.283149,4.567325
-0.065303,3.287271,4.552571
-0.046666,3.273839,4.559469
-0.053864,3.277482,4.54431
-0.032961,3.268747,4.55219
-0.039454,3.272129,4.536657
0.000297,3.27406,4.558965
-0.012621,3.270337,4.562465
0.011949,3.281463,4.557404
0.021195,3.291819,4.557934
0.027128,3.304116,4.560503
0.029168,3.317148,4.56486
0.027116,3.329642,4.570578
0.021172,3.340374,4.577098
0.011918,3.348293,4.58378
0.00026,3.352624,4.589972
