X,Y,Z
0.098337,4.111849,4.246964
0.100691,4.095176,4.250329
0.095834,4.095749,4.252388
0.105422,4.096254,4.248181
0.109564,4.09888,4.246156
0.112712,4.102797,4.244449
0.114556,4.107621,4.243229
0.114918,4.11288,4.242615
0.113761,4.118058,4.242668
0.111198,4.12265,4.243381
0.107481,4.126205,4.244686
0.102973,4.128376,4.246453
0.098116,4.128951,4.248512
0.093385,4.127871,4.250659
0.089243,4.125245,4.252686
0.086095,4.121328,4.254392
0.084251,4.116504,4.255612
0.083889,4.111246,4.256226
0.085047,4.106067,4.256174
0.087609,4.101476,4.25546
0.091326,4.09792,4.254155
0.104947,4.08056,4.258277
0.095708,4.081652,4.262193
0.113946,4.082613,4.254192
0.121825,4.087608,4.250339
0.127811,4.095058,4.247093
0.13132,4.104234,4.244772
0.132008,4.114236,4.243605
0.129807,4.124086,4.243704
0.124932,4.13282,4.245061
0.117862,4.139583,4.247543
0.109288,4.143712,4.250906
0.100049,4.144804,4.254821
0.09105,4.142751,4.258906
0.083171,4.137756,4.26276
0.077185,4.130306,4.266006
0.073676,4.121131,4.268326
0.072988,4.111128,4.269494
0.075189,4.101278,4.269394
0.080064,4.092545,4.268037
0.087134,4.085782,4.265556
0.110688,4.069435,4.270031
0.097972,4.070938,4.27542
0.123075,4.07226,4.264409
0.133919,4.079136,4.259105
0.142159,4.08939,4.254637
0.146988,4.102018,4.251443
0.147934,4.115785,4.249836
0.144905,4.129343,4.249973
0.138196,4.141364,4.251842
0.128464,4.150672,4.255257
0.116663,4.156355,4.259886
0.103946,4.157859,4.265275
0.09156,4.155034,4.270896
0.080716,4.148158,4.276201
0.072476,4.137903,4.280669
0.067647,4.125275,4.283863
0.066701,4.111508,4.285469
0.069731,4.097951,4.285332
0.076439,4.08593,4.283464
0.086171,4.076622,4.280049
0.117353,4.062888,4.28444
0.102405,4.064656,4.290775
0.131914,4.066209,4.277831
0.144662,4.074293,4.271595
0.154349,4.086347,4.266342
0.160026,4.101192,4.262589
0.161138,4.117377,4.260699
0.157577,4.133315,4.26086
0.14969,4.147446,4.263056
0.13825,4.158389,4.267071
0.124377,4.16507,4.272513
0.109428,4.166837,4.278848
0.094867,4.163516,4.285457
0.082119,4.155433,4.291693
0.072433,4.143378,4.296945
0.066755,4.128532,4.300699
0.065643,4.112349,4.302588
0.069204,4.09641,4.302427
0.077091,4.082279,4.300231
0.088531,4.071337,4.296216
0.12429,4.061562,4.300092
0.108571,4.063419,4.306754
0.1396,4.065053,4.293143
0.153003,4.073552,4.286586
0.163188,4.086227,4.281065
0.169158,4.101837,4.277117
0.170328,4.118854,4.275131
0.166583,4.135612,4.2753
0.15829,4.15047,4.277608
0.146261,4.161975,4.28183
0.131674,4.169002,4.287552
0.115956,4.170859,4.294213
0.100646,4.167367,4.301163
0.087242,4.158868,4.307719
0.077057,4.146193,4.313242
0.071087,4.130583,4.317189
0.069918,4.113567,4.319175
0.073663,4.096808,4.319005
0.081955,4.081949,4.316697
0.093984,4.070445,4.312475
0.130818,4.065583,4.315458
0.108571,4.063419,4.306754
0.12429,4.061562,4.300092
0.115869,4.06735,4.321793
0.145379,4.068904,4.308848
0.1396,4.065053,4.293143
0.158126,4.076987,4.302612
0.153003,4.073552,4.286586
0.167813,4.089042,4.297361
0.163188,4.086227,4.281065
0.17349,4.103888,4.293606
0.169158,4.101837,4.277117
0.174603,4.120072,4.291718
0.170328,4.118854,4.275131
0.171041,4.136009,4.291878
0.166583,4.135612,4.2753
0.163154,4.150141,4.294074
0.15829,4.15047,4.277608
0.151714,4.161083,4.298089
0.146261,4.161975,4.28183
0.137841,4.167765,4.303531
0.131674,4.169002,4.287552
0.122892,4.169532,4.309866
0.115956,4.170859,4.294213
0.108331,4.166212,4.316475
0.100646,4.167367,4.301163
0.095583,4.158128,4.322711
0.087242,4.158868,4.307719
0.085897,4.146073,4.327963
0.077057,4.146193,4.313242
0.080219,4.131227,4.331717
0.071087,4.130583,4.317189
0.079107,4.115043,4.333606
0.069918,4.113567,4.319175
0.082669,4.099106,4.333446
0.073663,4.096808,4.319005
0.090555,4.084974,4.33125
0.081955,4.081949,4.316697
0.101995,4.074031,4.327234
0.093984,4.070445,4.312475
0.136299,4.074561,4.329031
0.123583,4.076065,4.33442
0.148685,4.077386,4.323409
0.159529,4.084262,4.318105
0.167769,4.094516,4.313637
0.172598,4.107145,4.310443
0.173544,4.120911,4.308836
0.170515,4.134469,4.308974
0.163806,4.146491,4.310841
0.154074,4.155798,4.314257
0.142273,4.161482,4.318886
0.129557,4.162985,4.324275
0.117171,4.160161,4.329897
0.106327,4.153284,4.335201
0.098087,4.14303,4.339669
0.093257,4.130402,4.342862
0.092311,4.116634,4.34447
0.095341,4.103077,4.344332
0.10205,4.091056,4.342464
0.111781,4.081748,4.339049
0.140197,4.087616,4.339484
0.130958,4.088708,4.343399
0.149196,4.089668,4.3354
0.157074,4.094664,4.331546
0.163061,4.102114,4.3283
0.16657,4.11129,4.325979
0.167257,4.121292,4.324812
0.165056,4.131142,4.324912
0.160182,4.139875,4.326269
0.153111,4.146638,4.32875
0.144537,4.150768,4.332113
0.135298,4.15186,4.336028
0.126299,4.149807,4.340113
0.11842,4.144811,4.343967
0.112434,4.137362,4.347213
0.108925,4.128187,4.349533
0.108238,4.118184,4.3507
0.110439,4.108334,4.350601
0.115313,4.0996,4.349244
0.122384,4.092837,4.346762
0.14213,4.10347,4.345793
0.137272,4.104043,4.347852
0.146861,4.104549,4.343646
0.151002,4.107174,4.34162
0.15415,4.111092,4.339913
0.155995,4.115915,4.338694
0.156356,4.121173,4.33808
0.155199,4.126352,4.338132
0.152636,4.130944,4.338846
0.148919,4.134499,4.34015
0.144411,4.136671,4.341918
0.139554,4.137244,4.343977
0.134823,4.136166,4.346124
0.130681,4.133539,4.34815
0.127534,4.129622,4.349857
0.125689,4.124798,4.351077
0.125328,4.11954,4.35169
0.126485,4.114361,4.351638
0.129047,4.10977,4.350924
0.132764,4.106215,4.34962
0.141908,4.120571,4.347342
-0.42148,4.256518,4.363667
-0.416121,4.270851,4.355873
-0.42112,4.270771,4.354095
-0.426072,4.269191,4.353028
-0.430493,4.266267,4.352775
-0.433949,4.262283,4.353363
-0.436102,4.25763,4.354731
-0.436742,4.252764,4.356748
-0.435805,4.24816,4.359215
-0.433384,4.24427,4.361892
-0.429716,4.241473,4.364515
-0.425159,4.240045,4.366829
-0.42016,4.240124,4.368607
-0.415207,4.241704,4.369675
-0.410787,4.244629,4.369927
-0.407331,4.248613,4.369341
-0.405178,4.253266,4.367972
-0.404538,4.258132,4.365955
-0.405475,4.262736,4.363487
-0.407896,4.266626,4.360811
-0.411564,4.269423,4.358187
-0.419114,4.281488,4.340829
-0.409605,4.28164,4.34421
-0.428534,4.278484,4.338799
-0.436942,4.272921,4.338318
-0.443516,4.265343,4.339434
-0.447611,4.256493,4.342037
-0.448828,4.247236,4.345873
-0.447047,4.238479,4.350567
-0.442442,4.23108,4.355658
-0.435464,4.225761,4.360648
-0.426796,4.223045,4.36505
-0.417287,4.223196,4.368431
-0.407867,4.226201,4.370461
-0.399459,4.231764,4.370943
-0.392886,4.239342,4.369827
-0.38879,4.248192,4.367223
-0.387573,4.257449,4.363387
-0.389354,4.266205,4.358694
-0.393959,4.273605,4.353602
-0.400937,4.278924,4.348612
-0.415658,4.287621,4.325166
-0.40257,4.287828,4.32982
-0.428623,4.283485,4.322371
-0.440196,4.275828,4.32171
-0.449244,4.265398,4.323245
-0.454881,4.253217,4.326828
-0.456556,4.240476,4.332108
-0.454104,4.228424,4.338568
-0.447766,4.218239,4.345576
-0.438162,4.210919,4.352445
-0.426232,4.20718,4.358502
-0.413144,4.207388,4.363157
-0.400179,4.211524,4.365952
-0.388606,4.219181,4.366613
-0.379557,4.229611,4.365077
-0.373921,4.241792,4.361494
-0.372245,4.254533,4.356213
-0.374698,4.266585,4.349754
-0.381036,4.27677,4.342746
-0.39064,4.28409,4.335877
-0.411091,4.288567,4.308639
-0.395705,4.288812,4.31411
-0.426332,4.283706,4.305353
-0.439937,4.274704,4.304576
-0.450574,4.262443,4.306382
-0.457201,4.248123,4.310594
-0.459169,4.233145,4.316801
-0.456287,4.218977,4.324395
-0.448836,4.207004,4.332633
-0.437546,4.198399,4.340708
-0.423521,4.194004,4.347829
-0.408135,4.194248,4.353301
-0.392894,4.19911,4.356586
-0.379289,4.208112,4.357364
-0.368652,4.220373,4.355558
-0.362025,4.234693,4.351345
-0.360057,4.24967,4.345138
-0.362939,4.263839,4.337544
-0.37039,4.275812,4.329307
-0.38168,4.284417,4.321231
-0.405859,4.284236,4.292867
-0.389681,4.284494,4.29862
-0.421885,4.279124,4.289412
-0.43619,4.26966,4.288595
-0.447374,4.256768,4.290493
-0.454342,4.241711,4.294922
-0.456412,4.225963,4.301449
-0.453382,4.211065,4.309434
-0.445547,4.198476,4.318095
-0.433676,4.189428,4.326586
-0.418929,4.184806,4.334074
-0.402751,4.185064,4.339826
-0.386725,4.190176,4.34328
-0.372421,4.19964,4.344099
-0.361237,4.212533,4.3422
-0.354269,4.227589,4.337771
-0.352199,4.243338,4.331244
-0.355229,4.258235,4.32326
-0.363064,4.270824,4.314598
-0.374935,4.279872,4.306108
-0.400476,4.275052,4.279393
-0.405859,4.284236,4.292867
-0.389681,4.284494,4.29862
-0.38509,4.275296,4.284865
-0.415717,4.270191,4.276108
-0.421885,4.279124,4.289412
-0.429322,4.261189,4.27533
-0.43619,4.26966,4.288595
-0.439959,4.248927,4.277135
-0.447374,4.256768,4.290493
-0.446586,4.234607,4.281348
-0.454342,4.241711,4.294922
-0.448555,4.21963,4.287555
-0.456412,4.225963,4.301449
-0.445672,4.205462,4.295149
-0.453382,4.211065,4.309434
-0.438221,4.193489,4.303387
-0.445547,4.198476,4.318095
-0.426931,4.184883,4.311462
-0.433676,4.189428,4.326586
-0.412906,4.180489,4.318583
-0.418929,4.184806,4.334074
-0.39752,4.180733,4.324054
-0.402751,4.185064,4.339826
-0.382279,4.185594,4.32734
-0.386725,4.190176,4.34328
-0.368674,4.194595,4.328117
-0.372421,4.19964,4.344099
-0.358037,4.206857,4.326312
-0.361237,4.212533,4.3422
-0.351411,4.221177,4.322099
-0.354269,4.227589,4.337771
-0.349442,4.236155,4.315892
-0.352199,4.243338,4.331244
-0.352324,4.250322,4.308298
-0.355229,4.258235,4.32326
-0.359775,4.262296,4.300061
-0.363064,4.270824,4.314598
-0.371065,4.270901,4.291986
-0.374935,4.279872,4.306108
