X,Y,Z
0.224437,3.657315,4.482353
0.227161,3.642269,4.474538
0.22218,3.641452,4.476176
0.231965,3.644421,4.47387
0.236123,3.647698,4.474238
0.239227,3.651779,4.475606
0.240973,3.656264,4.477839
0.24119,3.660716,4.480721
0.239858,3.664697,4.483966
0.237106,3.667818,4.48726
0.233204,3.669774,4.490279
0.228534,3.670372,4.492726
0.223553,3.669556,4.494364
0.218749,3.667403,4.495031
0.214591,3.664127,4.494663
0.211488,3.660045,4.493296
0.209742,3.655559,4.491062
0.209524,3.651109,4.488182
0.210857,3.647127,4.484935
0.213609,3.644006,4.481642
0.21751,3.642051,4.478623
0.231458,3.625889,4.471685
0.221984,3.624336,4.4748
0.240597,3.629983,4.470415
0.248504,3.636216,4.471115
0.254408,3.643979,4.473717
0.257729,3.652511,4.477965
0.258143,3.660978,4.483445
0.255609,3.668551,4.489619
0.250374,3.674487,4.495883
0.242953,3.678207,4.501625
0.23407,3.679346,4.506281
0.224596,3.677793,4.509395
0.215457,3.673699,4.510665
0.207549,3.667466,4.509965
0.201646,3.659703,4.507363
0.198325,3.65117,4.503114
0.197911,3.642704,4.497635
0.200445,3.635131,4.491461
0.20568,3.629195,4.485198
0.213101,3.625475,4.479456
0.236908,3.609781,4.474071
0.223868,3.607643,4.47836
0.249486,3.615415,4.472324
0.26037,3.623995,4.473288
0.268496,3.634679,4.476869
0.273067,3.646422,4.482716
0.273636,3.658076,4.490258
0.270148,3.668498,4.498756
0.262944,3.67667,4.507378
0.252729,3.68179,4.51528
0.240502,3.683357,4.521688
0.227462,3.681219,4.525977
0.214884,3.675585,4.527724
0.204,3.667005,4.526761
0.195875,3.656321,4.523179
0.191303,3.644577,4.517332
0.190734,3.632924,4.509789
0.194222,3.622502,4.501292
0.201427,3.61433,4.49267
0.211642,3.60921,4.484767
0.242977,3.595519,4.481465
0.227647,3.593006,4.486506
0.257763,3.602143,4.479411
0.270558,3.612229,4.480544
0.28011,3.624789,4.484754
0.285484,3.638595,4.491628
0.286153,3.652294,4.500494
0.282053,3.664546,4.510484
0.273584,3.674152,4.520619
0.261575,3.680171,4.529909
0.247202,3.682014,4.537443
0.231873,3.679501,4.542483
0.217087,3.672877,4.544538
0.204291,3.662791,4.543405
0.194739,3.650231,4.539195
0.189366,3.636425,4.532321
0.188696,3.622726,4.523455
0.192797,3.610473,4.513465
0.201266,3.600868,4.503329
0.213275,3.594849,4.49404
0.24907,3.584502,4.493142
0.232952,3.581859,4.498443
0.264618,3.591466,4.490982
0.278072,3.602071,4.492174
0.288115,3.615277,4.4966
0.293766,3.629793,4.503828
0.294469,3.644198,4.51315
0.290158,3.657081,4.523654
0.281253,3.66718,4.534311
0.268626,3.673509,4.544078
0.253514,3.675447,4.552
0.237395,3.672804,4.5573
0.221848,3.66584,4.559461
0.208394,3.655235,4.558269
0.198351,3.642028,4.553843
0.1927,3.627512,4.546615
0.191997,3.613108,4.537292
0.196308,3.600225,4.526789
0.205213,3.590125,4.516132
0.21784,3.583797,4.506364
0.254593,3.577806,4.507959
0.232952,3.581859,4.498443
0.24907,3.584502,4.493142
0.239263,3.575292,4.513
0.269379,3.584429,4.505905
0.264618,3.591466,4.490982
0.282175,3.594514,4.507038
0.278072,3.602071,4.492174
0.291727,3.607075,4.511248
0.288115,3.615277,4.4966
0.2971,3.62088,4.518122
0.293766,3.629793,4.503828
0.29777,3.63458,4.526988
0.294469,3.644198,4.51315
0.293669,3.646832,4.536978
0.290158,3.657081,4.523654
0.2852,3.656438,4.547113
0.281253,3.66718,4.534311
0.273192,3.662457,4.556403
0.268626,3.673509,4.544078
0.258819,3.664299,4.563937
0.253514,3.675447,4.552
0.24349,3.661787,4.568977
0.237395,3.672804,4.5573
0.228703,3.655163,4.571033
0.221848,3.66584,4.559461
0.215908,3.645077,4.569899
0.208394,3.655235,4.558269
0.206356,3.632517,4.565689
0.198351,3.642028,4.553843
0.200982,3.618711,4.558815
0.1927,3.627512,4.546615
0.200313,3.605012,4.549949
0.191997,3.613108,4.537292
0.204413,3.59276,4.539959
0.196308,3.600225,4.526789
0.212882,3.583154,4.529823
0.205213,3.590125,4.516132
0.224891,3.577135,4.520534
0.21784,3.583797,4.506364
0.259003,3.576086,4.524467
0.245963,3.573949,4.528754
0.271582,3.581721,4.522719
0.282466,3.590301,4.523683
0.290591,3.600985,4.527264
0.295162,3.612729,4.533111
0.295732,3.624382,4.540653
0.292244,3.634804,4.54915
0.28504,3.642975,4.557773
0.274824,3.648095,4.565675
0.262598,3.649663,4.572083
0.249558,3.647525,4.576371
0.23698,3.641891,4.578119
0.226096,3.633311,4.577156
0.21797,3.622627,4.573575
0.213399,3.610883,4.567726
0.21283,3.599229,4.560184
0.216318,3.588808,4.551687
0.223522,3.580636,4.543066
0.233737,3.575516,4.535162
0.26187,3.579513,4.541048
0.252396,3.57796,4.544163
0.271009,3.583607,4.539777
0.278917,3.58984,4.540477
0.28482,3.597603,4.543079
0.288141,3.606135,4.547328
0.288555,3.614602,4.552808
0.286021,3.622174,4.558981
0.280787,3.628111,4.565246
0.273365,3.631831,4.570987
0.264482,3.63297,4.575644
0.255008,3.631417,4.578759
0.24587,3.627323,4.580028
0.237962,3.621089,4.579328
0.232058,3.613327,4.576726
0.228737,3.604795,4.572478
0.228323,3.596328,4.566998
0.230858,3.588756,4.560824
0.236092,3.582819,4.55456
0.243513,3.579099,4.548819
0.262913,3.58775,4.556079
0.257932,3.586933,4.557717
0.267718,3.589902,4.555412
0.271875,3.593179,4.555779
0.274979,3.59726,4.557148
0.276725,3.601746,4.559381
0.276942,3.606197,4.562262
0.27561,3.610178,4.565507
0.272858,3.613299,4.568801
0.268956,3.615254,4.571819
0.264286,3.615854,4.574267
