X,Y,Z
-0.040989,3.648245,4.542318
-0.035141,3.633348,4.53609
-0.040076,3.631838,4.537328
-0.03069,3.63621,4.535686
-0.027159,3.640143,4.536155
-0.024893,3.644763,4.537451
-0.024114,3.649618,4.539446
-0.024899,3.654232,4.541947
-0.027169,3.658154,4.544708
-0.030704,3.661,4.547457
-0.035157,3.662491,4.549929
-0.040093,3.662482,4.551878
-0.045027,3.660972,4.553116
-0.049478,3.65811,4.553519
-0.053009,3.654178,4.553051
-0.055275,3.649557,4.551755
-0.056054,3.644703,4.549759
-0.05527,3.640088,4.547259
-0.052999,3.636166,4.544499
-0.049464,3.633321,4.541749
-0.045011,3.631829,4.539277
-0.028056,3.61774,4.535043
-0.037442,3.61487,4.537397
-0.01959,3.623183,4.534274
-0.012874,3.630665,4.535165
-0.008564,3.639453,4.53763
-0.007082,3.648687,4.541426
-0.008574,3.657465,4.546183
-0.012893,3.664925,4.551433
-0.019617,3.670337,4.556664
-0.028087,3.673174,4.561365
-0.037475,3.673156,4.565073
-0.046861,3.670285,4.567426
-0.055327,3.664842,4.568194
-0.062043,3.657361,4.567303
-0.066354,3.648572,4.564839
-0.067835,3.639338,4.561043
-0.066343,3.630561,4.556287
-0.062024,3.623101,4.551036
-0.0553,3.617688,4.545805
-0.04683,3.614852,4.541105
-0.020427,3.60295,4.539278
-0.033346,3.598999,4.542518
-0.008775,3.610441,4.538219
0.000469,3.620739,4.539446
0.006402,3.632835,4.542839
0.008441,3.645544,4.548064
0.006387,3.657625,4.554609
0.000442,3.667893,4.561836
-0.008812,3.675344,4.569037
-0.020471,3.679247,4.575506
-0.033392,3.679222,4.58061
-0.046311,3.675271,4.583849
-0.057963,3.66778,4.584907
-0.067207,3.657482,4.58368
-0.073139,3.645386,4.580288
-0.075179,3.632676,4.575064
-0.073125,3.620596,4.568517
-0.06718,3.610328,4.56129
-0.057926,3.602878,4.55409
-0.046267,3.598973,4.547621
-0.013002,3.590424,4.54838
-0.028189,3.585779,4.552188
0.000696,3.599231,4.547136
0.011563,3.611336,4.548579
0.018537,3.625556,4.552567
0.020934,3.640497,4.558708
0.018521,3.654699,4.566404
0.011532,3.666769,4.5749
0.000652,3.675529,4.583364
-0.013053,3.680117,4.590969
-0.028243,3.680087,4.596969
-0.04343,3.675442,4.600778
-0.057128,3.666636,4.602021
-0.067995,3.654531,4.600578
-0.074969,3.640311,4.596591
-0.077366,3.62537,4.590449
-0.074953,3.611168,4.582753
-0.067964,3.599098,4.574258
-0.057084,3.590339,4.565794
-0.043379,3.585749,4.558188
-0.006507,3.58139,4.56146
-0.022475,3.576505,4.565464
0.007896,3.590649,4.560152
0.019323,3.603378,4.561668
0.026655,3.618328,4.565861
0.029176,3.634039,4.572319
0.026638,3.648972,4.580411
0.01929,3.661663,4.589345
0.00785,3.670872,4.598244
-0.006561,3.675698,4.60624
-0.022532,3.675667,4.612549
-0.038501,3.670782,4.616553
-0.052903,3.661523,4.617861
-0.06433,3.648795,4.616344
-0.071663,3.633843,4.612152
-0.074184,3.618134,4.605693
-0.071645,3.603201,4.597601
-0.064297,3.59051,4.588669
-0.052857,3.581299,4.579769
-0.038447,3.576474,4.571773
-0.001578,3.57673,4.577235
-0.022475,3.576505,4.565464
-0.006507,3.58139,4.56146
-0.016765,3.572085,4.581044
0.01212,3.585536,4.575991
0.007896,3.590649,4.560152
0.022988,3.597641,4.577434
0.019323,3.603378,4.561668
0.029962,3.611861,4.581421
0.026655,3.618328,4.565861
0.032359,3.626802,4.587564
0.029176,3.634039,4.572319
0.029945,3.641004,4.595259
0.026638,3.648972,4.580411
0.022956,3.653075,4.603755
0.01929,3.661663,4.589345
0.012077,3.661834,4.612219
0.00785,3.670872,4.598244
-0.001629,3.666423,4.619824
-0.006561,3.675698,4.60624
-0.016818,3.666393,4.625824
-0.022532,3.675667,4.612549
-0.032005,3.661748,4.629632
-0.038501,3.670782,4.616553
-0.045703,3.652942,4.630877
-0.052903,3.661523,4.617861
-0.056571,3.640836,4.629434
-0.06433,3.648795,4.616344
-0.063544,3.626617,4.625446
-0.071663,3.633843,4.612152
-0.065942,3.611675,4.619304
-0.074184,3.618134,4.605693
-0.063528,3.597474,4.611608
-0.071645,3.603201,4.597601
-0.056539,3.585403,4.603113
-0.064297,3.59051,4.588669
-0.045659,3.576644,4.594648
