X,Y,Z
-0.01072,3.59451,4.724667
-0.004874,3.579339,4.71914
-0.009809,3.577889,4.720447
-0.000423,3.582178,4.718603
0.003109,3.586128,4.718886
0.005375,3.590803,4.719965
0.006154,3.595746,4.721733
0.005371,3.600472,4.724015
0.003101,3.604519,4.72659
-0.000434,3.60749,4.729205
-0.004886,3.609095,4.731605
-0.009821,3.609177,4.733552
-0.014756,3.607728,4.73486
-0.019207,3.604888,4.735397
-0.022738,3.600938,4.735113
-0.025005,3.596263,4.734034
-0.025785,3.59132,4.732267
-0.025001,3.586594,4.729984
-0.022731,3.582547,4.727409
-0.019197,3.579577,4.724794
-0.014744,3.577971,4.722394
0.002209,3.563699,4.71882
-0.007177,3.560942,4.721306
0.010675,3.569099,4.717797
0.017393,3.576613,4.718338
0.021704,3.585505,4.72039
0.023187,3.594907,4.723752
0.021696,3.603896,4.728094
0.017379,3.611593,4.732992
0.010656,3.617245,4.737966
0.002186,3.620298,4.742529
-0.007201,3.620454,4.746235
-0.016587,3.617697,4.748721
-0.025054,3.612297,4.749743
-0.031771,3.604783,4.749202
-0.036082,3.595891,4.74715
-0.037565,3.586489,4.743789
-0.036075,3.577499,4.739447
-0.031757,3.569802,4.734549
-0.025034,3.564151,4.729575
-0.016564,3.561097,4.725012
0.009837,3.54912,4.723739
-0.003082,3.545326,4.72716
0.021489,3.556553,4.722332
0.030735,3.566896,4.723076
0.036669,3.579136,4.725901
0.03871,3.592075,4.730527
0.036658,3.604448,4.736504
0.030715,3.615042,4.743244
0.021462,3.622821,4.750091
0.009805,3.627024,4.756371
-0.003116,3.627238,4.761472
-0.016035,3.623443,4.764894
-0.027687,3.616011,4.766301
-0.036933,3.605668,4.765556
-0.042867,3.593428,4.762733
-0.044908,3.580489,4.758106
-0.042857,3.568116,4.75213
-0.036914,3.557522,4.745389
-0.02766,3.549743,4.738542
-0.016003,3.54554,4.732261
0.017261,3.537032,4.733415
0.002074,3.532571,4.737437
0.03096,3.545769,4.73176
0.041829,3.557928,4.732635
0.048805,3.572317,4.735955
0.051204,3.587528,4.741394
0.048793,3.602073,4.74842
0.041806,3.614527,4.756345
0.030928,3.623672,4.764393
0.017224,3.628613,4.771777
0.002035,3.628863,4.777773
-0.013152,3.624403,4.781795
-0.02685,3.615666,4.78345
-0.03772,3.603508,4.782574
-0.044695,3.589118,4.779254
-0.047095,3.573907,4.773816
-0.044683,3.559362,4.766789
-0.037697,3.546908,4.758864
-0.026819,3.537763,4.750817
-0.013114,3.532823,4.743433
0.023757,3.528616,4.7469
0.007788,3.523925,4.751129
0.038161,3.537803,4.745161
0.049589,3.550586,4.746081
0.056924,3.565716,4.749572
0.059447,3.581711,4.755291
0.056911,3.597004,4.762678
0.049565,3.610099,4.77101
0.038127,3.619714,4.779472
0.023718,3.624908,4.787236
0.007747,3.625174,4.793541
-0.008221,3.620483,4.797771
-0.022625,3.611296,4.79951
-0.034053,3.598512,4.798589
-0.041388,3.583383,4.795098
-0.043911,3.567389,4.78938
-0.041375,3.552095,4.781992
-0.034029,3.539,4.77366
-0.022592,3.529384,4.765197
-0.008182,3.52419,4.757434
0.028687,3.524695,4.762875
0.007788,3.523925,4.751129
0.023757,3.528616,4.7469
0.0135,3.520235,4.766897
0.042386,3.533432,4.761221
0.038161,3.537803,4.745161
0.053255,3.545591,4.762097
0.049589,3.550586,4.746081
0.060231,3.55998,4.765417
0.056924,3.565716,4.749572
0.06263,3.575192,4.770855
0.059447,3.581711,4.755291
0.060219,3.589737,4.777881
0.056911,3.597004,4.762678
0.053232,3.60219,4.785806
0.049565,3.610099,4.77101
0.042354,3.611336,4.793854
0.038127,3.619714,4.779472
0.02865,3.616276,4.801238
0.023718,3.624908,4.787236
0.013461,3.616528,4.807233
0.007747,3.625174,4.793541
-0.001726,3.612067,4.811255
-0.008221,3.620483,4.797771
-0.015424,3.60333,4.812911
-0.022625,3.611296,4.79951
-0.026293,3.591171,4.812035
-0.034053,3.598512,4.798589
-0.033269,3.576782,4.808715
-0.041388,3.583383,4.795098
-0.035669,3.561571,4.803276
-0.043911,3.567389,4.78938
-0.033257,3.547026,4.79625
-0.041375,3.552095,4.781992
-0.02627,3.534572,4.788325
-0.034029,3.539,4.77366
-0.015392,3.525427,4.780277
-0.022592,3.529384,4.765197
-0.001689,3.520486,4.772894
-0.008182,3.52419,4.757434
0.03157,3.525656,4.779776
0.018651,3.521862,4.783198
0.043223,3.533088,4.778369
0.052469,3.543431,4.779114
0.058403,3.555671,4.781938
0.060444,3.56861,4.786564
0.058392,3.580983,4.792541
0.052449,3.591577,4.799282
0.043196,3.599356,4.806129
0.031539,3.603559,4.812409
0.018618,3.603772,4.817511
0.005699,3.599978,4.820931
-0.005954,3.592546,4.822339
-0.015199,3.582203,4.821594
-0.021133,3.569963,4.81877
-0.023174,3.557024,4.814143
-0.021123,3.544651,4.808167
-0.01518,3.534057,4.801426
-0.005927,3.526278,4.79458
0.005731,3.522075,4.788299
0.032123,3.531402,4.795949
0.022737,3.528645,4.798435
0.040589,3.536802,4.794928
0.047307,3.544316,4.795468
0.051618,3.553209,4.79752
0.053101,3.56261,4.800881
0.05161,3.571599,4.805223
0.047292,3.579297,4.810121
0.040569,3.584948,4.815095
0.0321,3.588001,4.819658
0.022713,3.588157,4.823364
0.013327,3.5854,4.82585
0.00486,3.58,4.826873
-0.001857,3.572485,4.826331
-0.006168,3.563593,4.824279
-0.007651,3.554192,4.820919
-0.006161,3.545202,4.816576
-0.001843,3.537505,4.811679
0.00488,3.531854,4.806705
0.013349,3.5288,4.802141
0.030292,3.541372,4.809811
0.025357,3.539922,4.811117
0.034742,3.54421,4.809273
0.038274,3.54816,4.809558
0.04054,3.552836,4.810636
0.04132,3.557779,4.812403
0.040536,3.562505,4.814686
0.038266,3.566551,4.817262
0.034732,3.569522,4.819876
0.03028,3.571127,4.822275
0.025344,3.57121,4.824224
0.02041,3.56976,4.82553
0.015958,3.566921,4.826068
0.012427,3.562971,4.825784
0.010161,3.558295,4.824705
0.009381,3.553353,4.822938
0.010164,3.548627,4.820654
0.012435,3.54458,4.81808
0.015969,3.541609,4.815465
0.020422,3.540003,4.813066
0.026255,3.554589,4.820004
-0.553455,3.564072,4.820955
-0.551109,3.580995,4.822686
-0.555901,3.58106,4.820408
-0.560343,3.579513,4.817951
-0.563999,3.576504,4.815556
-0.566512,3.572328,4.813456
-0.567635,3.567395,4.811856
-0.567259,3.562186,4.810916
-0.56542,3.557212,4.810725
-0.562299,3.552959,4.811302
-0.558201,3.549844,4.812591
-0.553527,3.548172,4.814467
-0.548735,3.548107,4.816744
-0.544293,3.549655,4.819201
-0.540637,3.552663,4.821597
-0.538124,3.556839,4.823697
-0.537001,3.561772,4.825295
-0.537377,3.566981,4.826237
-0.539215,3.571955,4.826428
-0.542336,3.576207,4.82585
-0.546435,3.579323,4.824561
-0.555832,3.597409,4.815157
-0.546716,3.597285,4.819489
-0.56428,3.594466,4.810484
-0.571235,3.588743,4.805926
-0.576014,3.580801,4.801932
-0.578151,3.571417,4.798891
-0.577436,3.561508,4.797101
-0.573939,3.552047,4.796737
-0.568002,3.543959,4.797835
-0.560207,3.538034,4.800288
-0.551316,3.534854,4.803855
-0.5422,3.534729,4.808187
-0.533752,3.537672,4.81286
-0.526797,3.543395,4.817418
-0.522018,3.551337,4.821412
-0.519881,3.560722,4.824454
-0.520596,3.57063,4.826243
-0.524094,3.580091,4.826608
-0.53003,3.58818,4.825509
-0.537825,3.594104,4.823056
-0.553255,3.611519,4.805715
-0.540708,3.611347,4.811677
-0.564883,3.607468,4.799283
-0.574455,3.599591,4.79301
-0.581033,3.58866,4.787512
-0.583974,3.575743,4.783326
-0.58299,3.562107,4.780863
-0.578176,3.549084,4.780362
-0.570005,3.537951,4.781874
-0.559276,3.529796,4.78525
-0.547039,3.525419,4.790159
-0.534493,3.525247,4.796122
-0.522864,3.529298,4.802554
-0.513292,3.537175,4.808827
-0.506714,3.548107,4.814325
-0.503773,3.561023,4.818511
-0.504757,3.57466,4.820974
-0.509571,3.587682,4.821475
-0.517742,3.598816,4.819963
-0.528471,3.606971,4.816587
-0.548422,3.622009,4.793006
-0.533672,3.621807,4.800016
-0.562092,3.617247,4.785444
-0.573344,3.607987,4.778071
-0.581078,3.595135,4.771607
-0.584535,3.579951,4.766687
-0.583378,3.56392,4.763791
-0.577719,3.548611,4.763202
-0.568114,3.535523,4.764979
-0.555501,3.525937,4.768948
-0.541116,3.520792,4.77472
-0.526366,3.52059,4.78173
-0.512696,3.525352,4.789291
-0.501443,3.534611,4.796664
-0.49371,3.547463,4.803128
-0.490253,3.562647,4.808049
-0.49141,3.578678,4.810945
-0.497068,3.593987,4.811533
-0.506674,3.607075,4.809756
-0.519287,3.616661,4.805788
-0.541806,3.62785,4.778275
-0.526298,3.627638,4.785645
-0.55618,3.622843,4.770325
-0.568011,3.613107,4.762572
-0.576143,3.599595,4.755776
-0.579778,3.583629,4.750602
-0.578561,3.566773,4.747557
-0.572612,3.550676,4.746938
-0.562512,3.536915,4.748806
-0.54925,3.526835,4.752979
-0.534124,3.521424,4.759048
-0.518616,3.521213,4.766418
-0.504242,3.52622,4.774369
-0.49241,3.535956,4.782122
-0.484279,3.549468,4.788918
-0.480644,3.565434,4.794092
-0.481861,3.58229,4.797137
-0.48781,3.598387,4.797756
-0.497911,3.612149,4.795887
-0.511172,3.622227,4.791714
-0.534056,3.628473,4.762964
-0.541806,3.62785,4.778275
-0.526298,3.627638,4.785645
-0.519306,3.628271,4.769974
-0.547726,3.623711,4.755403
-0.55618,3.622843,4.770325
-0.558979,3.614451,4.74803
-0.568011,3.613107,4.762572
-0.566712,3.6016,4.741566
-0.576143,3.599595,4.755776
-0.570169,3.586416,4.736645
-0.579778,3.583629,4.750602
-0.569012,3.570385,4.733749
-0.578561,3.566773,4.747557
-0.563354,3.555076,4.733161
-0.572612,3.550676,4.746938
-0.553748,3.541988,4.734938
-0.562512,3.536915,4.748806
-0.541135,3.532402,4.738906
-0.54925,3.526835,4.752979
-0.52675,3.527256,4.744678
-0.534124,3.521424,4.759048
-0.512,3.527054,4.751688
-0.518616,3.521213,4.766418
-0.49833,3.531816,4.759249
-0.504242,3.52622,4.774369
-0.487078,3.541076,4.766623
-0.49241,3.535956,4.782122
-0.479344,3.553927,4.773086
-0.484279,3.549468,4.788918
-0.475887,3.569111,4.778007
-0.480644,3.565434,4.794092
-0.477044,3.585143,4.780902
-0.481861,3.58229,4.797137
-0.482703,3.600451,4.781492
-0.48781,3.598387,4.797756
-0.492308,3.61354,4.779714
-0.497911,3.612149,4.795887
-0.504921,3.623126,4.775746
-0.511172,3.622227,4.791714
-0.525929,3.623816,4.748572
-0.513383,3.623643,4.754535
-0.537558,3.619765,4.742139
-0.54713,3.611887,4.735867
-0.553708,3.600956,4.730369
-0.556649,3.588039,4.726183
-0.555665,3.574403,4.72372
-0.550851,3.56138,4.723219
-0.54268,3.550247,4.72473
-0.531951,3.542092,4.728106
-0.519714,3.537716,4.733017
-0.507168,3.537544,4.738979
-0.495539,3.541595,4.745411
-0.485967,3.549471,4.751684
-0.479389,3.560403,4.757182
-0.476448,3.573319,4.761368
-0.477432,3.586957,4.763831
-0.482246,3.599978,4.764331
-0.490417,3.611112,4.76282
-0.501146,3.619267,4.759444
-0.518222,3.614334,4.736506
-0.509106,3.614209,4.740839
-0.52667,3.61139,4.731833
-0.533625,3.605668,4.727276
-0.538404,3.597725,4.723282
-0.540541,3.588341,4.720241
-0.539826,3.578433,4.71845
-0.536329,3.568972,4.718086
-0.530392,3.560883,4.719185
-0.522597,3.554958,4.721637
-0.513706,3.551778,4.725204
-0.50459,3.551654,4.729537
-0.496142,3.554597,4.73421
-0.489187,3.56032,4.738768
-0.484408,3.568261,4.742762
-0.482271,3.577646,4.745803
-0.482986,3.587554,4.747593
-0.486484,3.597016,4.747957
-0.49242,3.605104,4.746859
-0.500215,3.611029,4.744405
-0.511688,3.600955,4.727949
-0.506895,3.60089,4.730227
-0.516129,3.599408,4.725492
-0.519785,3.5964,4.723097
-0.522298,3.592224,4.720996
-0.523422,3.587291,4.719398
-0.523046,3.582082,4.718457
-0.521207,3.577107,4.718266
-0.518086,3.572855,4.718843
-0.513988,3.569741,4.720132
-0.509314,3.568068,4.722007
-0.504521,3.568003,4.724286
-0.50008,3.569551,4.726742
-0.496423,3.572558,4.729137
-0.493911,3.576734,4.731238
-0.492787,3.581668,4.732837
-0.493163,3.586876,4.733778
-0.495002,3.591851,4.733969
-0.498123,3.596103,4.733392
-0.502221,3.599219,4.732102
-0.506967,3.584991,4.723738
-0.242541,4.333318,1.206344
-0.286264,4.326183,1.545023
-0.144974,4.444828,1.544254
-0.089993,4.424761,1.197144
-0.535583,4.156441,1.508667
-0.394701,4.228573,1.531725
-0.353325,4.254522,1.217823
-0.501548,4.173824,1.210569
-0.632625,4.022107,1.221348
-0.638972,4.030968,1.507257
-0.706395,3.864626,1.238551
-0.706247,3.894171,1.516489
-0.770442,3.745286,1.528821
-0.801861,3.69645,1.253893
-0.856904,3.481916,1.286132
-0.851704,3.563212,1.547804
-0.855644,3.337923,1.576849
-0.852084,3.266077,1.33367
-0.823043,3.097502,1.368247
-0.815053,3.162822,1.588878
-0.76351,2.935709,1.370077
-0.763122,2.995533,1.591322
-0.651107,2.803471,1.561923
-0.671957,2.795419,1.366449
0.050989,2.315328,1.433449
-0.110446,2.386396,1.427451
-0.179804,2.322214,1.242685
0.00802,2.204058,1.239792
-0.258782,2.479526,1.432904
-0.317548,2.410522,1.239014
-0.450632,2.611777,1.48252
-0.4905,2.563505,1.287975
-0.84396,3.787298,-3.776114
-0.689327,3.735176,-3.48222
-0.620236,3.76246,-3.512692
-0.782418,3.807244,-3.809449
-0.46599,3.721811,-3.180029
-0.540101,3.689476,-3.152088
-0.420216,3.653788,-2.802591
-0.335308,3.679467,-2.83298
-0.75657,3.673416,-3.458371
-0.617443,3.637725,-3.128122
-0.217867,3.661905,-2.469369
-0.294412,3.629114,-2.443651
-0.493182,3.601623,-2.779266
-0.386894,3.575252,-2.416012
-0.588512,3.543635,-2.744288
-0.507854,3.530695,-2.385203
-0.720261,3.28835,-2.733052
-0.642702,3.259917,-2.364922
-0.611164,3.425206,-2.361163
-0.649737,3.426416,-2.743476
-0.700776,3.577327,-3.104719
-0.759423,3.4611,-3.091983
-0.817401,3.330288,-3.089845
-0.721662,3.119925,-2.747645
-0.629315,3.074501,-2.391326
-0.901722,3.514163,-3.40849
-0.936064,3.383245,-3.417662
-0.913365,3.25138,-3.45313
-0.807936,3.18017,-3.11028
-0.843208,3.621268,-3.420963
-0.975471,3.653605,-3.717954
-0.912237,3.724108,-3.741215
-1.116091,3.719855,-3.970461
-1.052706,3.788414,-3.991068
-1.152466,3.625462,-3.974601
-1.021718,3.552159,-3.713778
-1.222442,3.777215,-4.184547
-1.166854,3.835715,-4.200827
-0.99043,3.845899,-4.019598
-1.111498,3.892316,-4.223271
-0.928936,3.87604,-4.05082
-1.050525,3.920764,-4.254531
-1.051237,3.440892,-3.724235
-1.220961,3.951285,-4.400224
-1.158771,3.989092,-4.430952
-1.322976,4.015806,-4.577745
-1.264669,4.04542,-4.604164
-1.373736,3.967113,-4.562748
-1.278773,3.898874,-4.381632
-1.36084,4.064288,-4.765262
-1.411071,4.047004,-4.742408
-1.459003,4.009261,-4.731437
-1.331361,3.844404,-4.368568
-0.559195,2.838326,-2.85191
-0.446277,2.756645,-2.495105
-0.568691,2.888039,-2.436131
-0.672155,2.954795,-2.789385
-0.415779,2.801126,-2.915206
-0.291871,2.702888,-2.557306
-1.258058,3.700692,-4.187566
-1.363313,3.772166,-4.375737
-1.354725,3.700018,-4.401499
-1.258145,3.618423,-4.209276
-1.423108,3.911807,-4.553761
-1.444882,3.843607,-4.56233
-1.436675,3.782591,-4.586275
-1.332714,3.645324,-4.433018
-1.24437,3.548042,-4.241802
-1.420916,3.737273,-4.612794
-1.169936,3.52228,-3.993161
-1.045961,3.329883,-3.761045
-1.158405,3.434892,-4.027168
-1.00505,3.235607,-3.809324
-0.876582,3.134429,-3.493783
-1.127165,3.36085,-4.073804
-1.065769,3.316313,-4.122482
-0.926446,3.186849,-3.86507
-1.224471,3.487543,-4.282634
-0.763009,3.044193,-3.151819
-0.78753,3.056122,-3.552451
-0.661019,2.95133,-3.208783
-1.459515,4.135589,-4.917315
-1.508615,4.114017,-4.893026
-1.510514,3.964876,-4.724338
-1.533408,3.905887,-4.735638
-1.529852,3.851016,-4.760009
-1.551128,4.071193,-4.884488
-1.598292,4.02938,-4.878754
-1.645706,4.14444,-5.040773
-1.682875,4.104849,-5.042522
-1.606405,4.171987,-5.048988
-1.568327,4.190991,-5.069187
-1.622013,3.976662,-4.894326
-1.708141,4.059463,-5.054801
