X,Y,Z
0.1432,3.340206,4.652462
0.149047,3.324899,4.647324
0.144112,3.323483,4.648666
0.153498,3.327724,4.646714
0.157029,3.331681,4.646898
0.159295,3.336382,4.647857
0.160074,3.341368,4.649498
0.15929,3.346151,4.651659
0.157019,3.350262,4.65413
0.153485,3.353298,4.656668
0.149032,3.354964,4.659026
0.144097,3.355095,4.660971
0.139162,3.353679,4.662315
0.134712,3.350853,4.662924
0.13118,3.346897,4.662741
0.128914,3.342196,4.661782
0.128135,3.33721,4.660141
0.128919,3.332427,4.657979
0.13119,3.328316,4.655509
0.134724,3.32528,4.65297
0.139177,3.323614,4.650612
0.156132,3.309257,4.647403
0.146746,3.306563,4.649958
0.164597,3.31463,4.646244
0.171314,3.322156,4.646593
0.175625,3.331099,4.648417
0.177107,3.340583,4.651538
0.175615,3.34968,4.655649
0.171297,3.357499,4.660349
0.164573,3.363275,4.665177
0.156103,3.366442,4.669662
0.146716,3.366692,4.673362
0.13733,3.363998,4.675918
0.128865,3.358625,4.677077
0.122148,3.351099,4.676728
0.117837,3.342157,4.674904
0.116355,3.332672,4.671782
0.117847,3.323576,4.667672
0.122165,3.315756,4.662971
0.128889,3.309981,4.658143
0.137359,3.306813,4.653659
0.163761,3.29481,4.652691
0.150842,3.291103,4.656209
0.175412,3.302205,4.651095
0.184657,3.312564,4.651576
0.19059,3.324873,4.654087
0.19263,3.337926,4.658383
0.190577,3.350446,4.664042
0.184633,3.361209,4.67051
0.175379,3.369159,4.677156
0.163722,3.373519,4.683328
0.150801,3.373862,4.688421
0.137882,3.370155,4.691939
0.12623,3.36276,4.693535
0.116986,3.352401,4.693054
0.111053,3.340092,4.690544
0.109013,3.327039,4.686248
0.111066,3.314518,4.680589
0.11701,3.303756,4.674119
0.126264,3.295806,4.667474
0.137921,3.291445,4.661302
0.171186,3.282972,4.662672
0.156,3.278615,4.666807
0.184884,3.291666,4.660796
0.195752,3.303843,4.661361
0.202727,3.318314,4.664313
0.205125,3.333659,4.669363
0.202712,3.348378,4.676014
0.195724,3.361029,4.683619
0.184845,3.370375,4.691432
0.171141,3.375501,4.698688
0.155952,3.375904,4.704675
0.140765,3.371546,4.70881
0.127067,3.362852,4.710687
0.116199,3.350675,4.710122
0.109225,3.336205,4.70717
0.106827,3.32086,4.70212
0.10924,3.30614,4.695467
0.116228,3.293489,4.687863
0.127106,3.284143,4.680051
0.140811,3.279017,4.672795
0.177683,3.274904,4.676368
0.161715,3.270321,4.680715
0.192085,3.284045,4.674395
0.203513,3.296848,4.674989
0.210846,3.312063,4.678093
0.213368,3.328198,4.683402
0.21083,3.343674,4.690398
0.203483,3.356977,4.698393
0.192045,3.366804,4.706607
0.177635,3.372193,4.714237
0.161664,3.372617,4.720532
0.145696,3.368034,4.72488
0.131293,3.358894,4.726853
0.119866,3.34609,4.726259
0.112532,3.330875,4.723155
0.110011,3.31474,4.717845
0.112548,3.299264,4.71085
0.119896,3.285961,4.702855
0.131334,3.276134,4.69464
0.145744,3.270745,4.687011
0.182614,3.271392,4.692437
0.161715,3.270321,4.680715
0.177683,3.274904,4.676368
0.167427,3.267035,4.696572
0.196311,3.280086,4.690561
0.192085,3.284045,4.674395
0.20718,3.292264,4.691126
0.203513,3.296848,4.674989
0.214154,3.306734,4.694078
0.210846,3.312063,4.678093
0.216552,3.322078,4.699128
0.213368,3.328198,4.683402
0.214139,3.336798,4.70578
0.21083,3.343674,4.690398
0.207151,3.349449,4.713385
0.203483,3.356977,4.698393
0.196273,3.358795,4.721197
0.192045,3.366804,4.706607
0.182568,3.36392,4.728453
