X,Y,Z
-0.067996,3.344653,4.469428
-0.062149,3.329395,4.46415
-0.067084,3.327966,4.46548
-0.057699,3.332225,4.463566
-0.054167,3.336179,4.463786
-0.051901,3.340872,4.464788
-0.051122,3.345843,4.466474
-0.051906,3.350605,4.468679
-0.054176,3.354693,4.471187
-0.057711,3.357707,4.473753
-0.062164,3.359351,4.476126
-0.067099,3.359464,4.478073
-0.072034,3.358036,4.479403
-0.076485,3.355205,4.479987
-0.080016,3.351251,4.479767
-0.082282,3.346558,4.478765
-0.083061,3.341587,4.47708
-0.082277,3.336825,4.474874
-0.080006,3.332736,4.472366
-0.076472,3.329723,4.4698
-0.072019,3.328079,4.467427
-0.055065,3.313752,4.464087
-0.064451,3.311035,4.466618
-0.046599,3.319135,4.462976
-0.039882,3.326658,4.463394
-0.035572,3.335583,4.465299
-0.03409,3.345038,4.468507
-0.035581,3.354098,4.472701
-0.0399,3.361874,4.477472
-0.046623,3.367605,4.482353
-0.055093,3.370732,4.486866
-0.06448,3.370948,4.490569
-0.073866,3.368231,4.4931
-0.082332,3.362848,4.49421
-0.089049,3.355325,4.493793
-0.093359,3.346399,4.491886
-0.094841,3.336944,4.488679
-0.093349,3.327885,4.484485
-0.089031,3.320109,4.479714
-0.082307,3.314377,4.474833
-0.073838,3.31125,4.470321
-0.047436,3.299257,4.469244
-0.060354,3.295518,4.472727
-0.035784,3.306667,4.467715
-0.026539,3.317021,4.46829
-0.020606,3.329306,4.470913
-0.018566,3.342319,4.475327
-0.020619,3.354788,4.4811
-0.026563,3.365491,4.487667
-0.035817,3.37338,4.494385
-0.047475,3.377684,4.500596
-0.060395,3.37798,4.505692
-0.073314,3.374241,4.509176
-0.084966,3.366832,4.510705
-0.094211,3.356477,4.510129
-0.100143,3.344193,4.507506
-0.102183,3.331178,4.503093
-0.100131,3.31871,4.497319
-0.094187,3.308007,4.490753
-0.084933,3.300118,4.484035
-0.073275,3.295815,4.477823
-0.04001,3.287329,4.479116
-0.055196,3.282933,4.483211
-0.026312,3.296039,4.477318
-0.015444,3.308212,4.477995
-0.00847,3.322654,4.481079
-0.006071,3.337952,4.486268
-0.008484,3.35261,4.493054
-0.015472,3.365191,4.500774
