X,Y,Z
-0.069516,3.441837,4.464183
-0.063668,3.426259,4.459941
-0.068603,3.424923,4.461364
-0.059218,3.429044,4.459168
-0.055686,3.433004,4.459122
-0.05342,3.437753,4.459807
-0.052641,3.442826,4.461156
-0.053425,3.447726,4.463037
-0.055696,3.451973,4.465265
-0.05923,3.455151,4.467623
-0.063683,3.456951,4.46988
-0.068618,3.457195,4.471815
-0.073553,3.455859,4.473238
-0.078004,3.453074,4.47401
-0.081535,3.449114,4.474056
-0.083801,3.444364,4.473372
-0.08458,3.439292,4.472023
-0.083796,3.434392,4.470142
-0.081526,3.430145,4.467914
-0.077991,3.426966,4.465556
-0.073538,3.425166,4.463299
-0.056584,3.410647,4.460927
-0.06597,3.408106,4.463634
-0.048118,3.415944,4.459458
-0.041401,3.423477,4.45937
-0.037091,3.432511,4.460672
-0.035609,3.44216,4.463238
-0.0371,3.45148,4.466815
-0.041419,3.459559,4.471054
-0.048142,3.465605,4.475539
-0.056612,3.469027,4.479831
-0.065999,3.469491,4.483511
-0.075385,3.46695,4.486219
-0.083851,3.461653,4.487689
-0.090568,3.45412,4.487776
-0.094878,3.445086,4.486473
-0.09636,3.435437,4.483908
-0.094869,3.426117,4.480331
-0.09055,3.418038,4.476092
-0.083827,3.411992,4.471608
-0.075357,3.40857,4.467314
-0.048955,3.396531,4.467044
-0.061873,3.393034,4.470771
-0.037303,3.403821,4.465023
-0.028058,3.414191,4.464901
-0.022125,3.426624,4.466695
-0.020085,3.439905,4.470226
-0.022138,3.452732,4.475149
-0.028082,3.463851,4.480983
-0.037336,3.472174,4.487156
-0.048994,3.476885,4.493064
-0.061914,3.477522,4.49813
-0.074833,3.474025,4.501856
-0.086485,3.466735,4.503879
-0.09573,3.456366,4.504
-0.101662,3.443932,4.502206
-0.103702,3.430651,4.498675
-0.10165,3.417824,4.493752
-0.095706,3.406705,4.487918
-0.086452,3.398382,4.481745
-0.074794,3.393672,4.475836
-0.041529,3.385292,4.477695
-0.056715,3.381181,4.482076
-0.027831,3.393862,4.475317
-0.016963,3.406053,4.475176
-0.009989,3.420669,4.477283
-0.007591,3.436281,4.481434
-0.010004,3.451361,4.487222
-0.016991,3.464433,4.49408
-0.02787,3.474216,4.501337
-0.041575,3.479754,4.508284
-0.056764,3.480503,4.514237
-0.07195,3.476393,4.518619
-0.085648,3.467823,4.520996
-0.096516,3.455632,4.521138
-0.10349,3.441015,4.51903
-0.105888,3.425404,4.51488
-0.103475,3.410323,4.509092
-0.096488,3.397252,4.502234
-0.085609,3.387469,4.494976
-0.071904,3.381931,4.48803
-0.035032,3.378031,4.491836
-0.051001,3.373708,4.496441
-0.02063,3.387043,4.489336
-0.009203,3.399859,4.489187
-0.001869,3.415228,4.491403
0.000652,3.431644,4.495767
-0.001885,3.4475,4.501853
-0.009232,3.461244,4.509064
-0.020671,3.47153,4.516695
-0.035081,3.477353,4.523998
-0.051051,3.478142,4.530259
-0.06702,3.473819,4.534865
-0.081422,3.464808,4.537365
-0.092849,3.451991,4.537514
-0.100183,3.436622,4.535298
-0.102704,3.420207,4.530934
-0.100167,3.40435,4.524848
-0.092819,3.390606,4.517637
-0.081381,3.380319,4.510006
-0.066971,3.374497,4.502703
-0.030102,3.375458,4.508082
-0.051001,3.373708,4.496441
-0.035032,3.378031,4.491836
-0.045288,3.371347,4.512463
-0.016404,3.384028,4.505705
-0.02063,3.387043,4.489336
-0.005536,3.396218,4.505563
-0.009203,3.399859,4.489187
0.001439,3.410835,4.507671
-0.001869,3.415228,4.491403
0.003837,3.426447,4.511822
0.000652,3.431644,4.495767
0.001424,3.441527,4.517609
-0.001885,3.4475,4.501853
-0.005564,3.454598,4.524467
-0.009232,3.461244,4.509064
-0.016443,3.464382,4.531725
-0.020671,3.47153,4.516695
-0.030147,3.46992,4.538671
-0.035081,3.477353,4.523998
-0.045336,3.470669,4.544625
-0.051051,3.478142,4.530259
-0.060523,3.466558,4.549006
-0.06702,3.473819,4.534865
-0.074221,3.457988,4.551383
-0.081422,3.464808,4.537365
-0.085089,3.445798,4.551525
-0.092849,3.451991,4.537514
-0.092063,3.431181,4.549417
-0.100183,3.436622,4.535298
-0.094461,3.415569,4.545267
-0.102704,3.420207,4.530934
-0.092048,3.400489,4.539479
-0.100167,3.40435,4.524848
-0.08506,3.387418,4.532621
-0.092819,3.390606,4.517637
-0.074182,3.377634,4.525363
-0.081381,3.380319,4.510006
-0.060477,3.372097,4.518417
-0.066971,3.374497,4.502703
-0.027219,3.377825,4.524845
-0.040137,3.374328,4.528571
-0.015567,3.385115,4.522822
-0.006322,3.395484,4.522702
-0.000389,3.407918,4.524494
0.001651,3.421199,4.528026
-0.000402,3.434026,4.532948
-0.006346,3.445146,4.538783
-0.0156,3.453468,4.544956
-0.027258,3.458179,4.550865
-0.040179,3.458816,4.55593
-0.053097,3.455319,4.559656
-0.064749,3.448029,4.561678
-0.073994,3.43766,4.561799
-0.079926,3.425226,4.560007
-0.081966,3.411946,4.556475
-0.079914,3.399118,4.551552
-0.07397,3.387999,4.545718
-0.064716,3.379676,4.539545
-0.053058,3.374965,4.533636
-0.026667,3.384901,4.540482
-0.036053,3.382359,4.543189
-0.018201,3.390197,4.539012
-0.011484,3.39773,4.538925
-0.007174,3.406764,4.540227
-0.005692,3.416413,4.542793
-0.007183,3.425733,4.54637
-0.011502,3.433812,4.550609
-0.018225,3.439858,4.555093
-0.026695,3.443281,4.559387
-0.036082,3.443744,4.563066
-0.045468,3.441203,4.565773
-0.053934,3.435907,4.567243
-0.060651,3.428372,4.567331
-0.064961,3.41934,4.566028
-0.066443,3.40969,4.563462
-0.064952,3.40037,4.559886
-0.060633,3.392292,4.555647
-0.05391,3.386245,4.551162
-0.04544,3.382823,4.546869
-0.028499,3.395991,4.553463
-0.033434,3.394655,4.554886
-0.024049,3.398776,4.552691
-0.020517,3.402736,4.552645
-0.018251,3.407485,4.553329
-0.017472,3.412558,4.554677
-0.018256,3.417458,4.556558
-0.020527,3.421705,4.558787
-0.024061,3.424883,4.561144
-0.028514,3.426683,4.563401
-0.033449,3.426927,4.565336
-0.038384,3.425591,4.56676
-0.042834,3.422806,4.567532
-0.046366,3.418846,4.567579
-0.048632,3.414097,4.566893
-0.049411,3.409024,4.565544
-0.048627,3.404124,4.563664
-0.046356,3.399877,4.561435
-0.042822,3.396698,4.559078
-0.038369,3.394899,4.55682
-0.032536,3.410012,4.562518
-0.612248,3.419487,4.56268
-0.609902,3.436496,4.562992
-0.614695,3.436371,4.560717
-0.619137,3.434623,4.558398
-0.622792,3.431426,4.556262
-0.625305,3.427088,4.554517
-0.626428,3.422039,4.553336
-0.626051,3.41677,4.552833
-0.624212,3.411797,4.553057
-0.621091,3.407608,4.553987
-0.616992,3.404612,4.555532
-0.612318,3.403103,4.55754
-0.607525,3.403228,4.559814
-0.603084,3.404975,4.562134
-0.599428,3.408174,4.56427
-0.596916,3.41251,4.566015
-0.595793,3.41756,4.567196
-0.596169,3.422829,4.5677
-0.598008,3.427802,4.567475
-0.60113,3.431991,4.566545
-0.605228,3.434987,4.565001
-0.614627,3.452226,4.55412
-0.605511,3.452463,4.558448
-0.623076,3.448902,4.549709
-0.630029,3.442819,4.545645
-0.634808,3.43457,4.542327
-0.636944,3.424965,4.54008
-0.636228,3.414942,4.539122
-0.63273,3.405483,4.539549
-0.626793,3.397515,4.541318
-0.618997,3.391817,4.544257
-0.610106,3.388946,4.548077
-0.60099,3.389184,4.552404
-0.592542,3.392508,4.556816
-0.585588,3.398591,4.560879
-0.580809,3.406839,4.564197
-0.578673,3.416445,4.566444
-0.57939,3.426467,4.567402
-0.582887,3.435926,4.566975
-0.588825,3.443894,4.565206
-0.596621,3.449593,4.562267
-0.612052,3.465499,4.543534
-0.599505,3.465826,4.549489
-0.62368,3.460924,4.537461
-0.633251,3.452551,4.531869
-0.639828,3.441198,4.527302
-0.642768,3.427977,4.524208
-0.641782,3.414182,4.522891
-0.636968,3.401164,4.523479
-0.628795,3.390196,4.525914
-0.618066,3.382353,4.529958
-0.605828,3.378402,4.535215
-0.593282,3.378729,4.541172
-0.581653,3.383303,4.547244
-0.572082,3.391677,4.552836
-0.565505,3.40303,4.557403
-0.562565,3.416251,4.560497
-0.563551,3.430046,4.561814
-0.568365,3.443064,4.561227
-0.576538,3.454032,4.558792
-0.587268,3.461875,4.554747
-0.60722,3.474892,4.529994
-0.59247,3.475277,4.536996
-0.620889,3.469514,4.522856
