119,31
95,45
90,77
95,110
104,138
116,164
131,186
147,208
165,228
182,248
201,267
219,286
239,304
259,322
279,339
300,356
322,371
344,387
365,403
389,417
374,422
350,431
329,414
310,396
289,379
268,363
242,351
223,340
239,353
266,364
288,379
309,396
328,414
348,432
341,447
345,456
325,472
304,488
282,504
258,518
230,527
213,538
228,528
248,524
272,511
294,495
316,479
338,464
356,468
383,472
378,485
354,498
331,513
308,528
287,544
266,561
246,578
225,595
204,612
185,630
167,650
149,669
132,690
116,711
101,734
88,759
78,786
72,818
73,848
90,867
119,867
144,860
170,850
193,840
222,833
251,827
274,824
304,821
331,814
358,809
381,795
400,778
412,753
417,720
418,687
419,655
421,621
429,606
438,635
447,663
456,692
469,717
485,738
506,755
530,752
549,769
570,763
593,756
614,757
634,740
662,744
678,725
705,724
730,737
752,752
776,766
799,780
804,769
782,754
761,737
745,715
740,689
743,662
758,640
775,623
759,604
739,612
713,606
714,580
724,568
693,562
660,559
626,555
597,547
571,535
546,523
523,508
502,494
479,479
491,471
501,466
530,459
560,458
585,459
608,457
632,445
618,431
592,432
566,444
552,439
527,436
497,435
484,430
486,416
508,401
531,386
550,372
574,358
599,345
627,336
657,332
689,327
720,320
703,300
719,280
740,291
761,277
752,256
737,234
732,207
738,180
754,158
775,141
798,127
780,123
760,136
737,151
714,166
687,176
666,163
643,157
615,151
596,139
568,139
547,130
529,149
503,153
487,160
472,183
459,207
452,228
444,252
435,278
426,285
423,251
422,216
423,186
419,156
411,130
395,111
372,96
345,88
316,81
283,78
255,73
226,66
199,56
173,46
146,36
119,31
