104,15
100,16
97,16
93,17
89,18
86,19
82,21
78,22
75,24
71,26
67,28
64,30
60,34
57,36
53,40
50,44
48,47
45,51
43,55
42,58
40,62
39,66
38,69
37,73
36,77
36,80
36,84
36,88
36,91
36,95
36,99
37,102
38,106
39,110
40,113
42,117
44,121
45,124
47,128
49,131
52,135
55,139
58,142
62,146
66,149
69,151
73,154
77,157
76,159
72,162
68,165
65,167
61,171
57,175
54,178
51,182
48,186
46,189
44,193
42,197
41,200
39,204
38,208
38,211
37,215
36,218
36,222
36,226
36,229
36,233
36,237
36,240
37,244
38,248
39,251
41,255
42,259
44,262
46,266
49,270
51,273
55,277
59,281
62,283
66,286
70,289
73,291
77,293
80,294
84,296
88,297
91,298
95,299
99,299
102,300
106,300
110,300
113,300
117,300
121,300
124,300
128,299
132,298
135,298
139,297
143,295
146,294
150,292
154,290
157,288
161,285
165,281
168,278
172,274
175,271
178,267
182,263
185,260
188,256
191,252
194,249
197,245
200,241
202,238
206,234
209,230
211,227
214,223
218,219
220,216
223,212
227,208
229,205
233,201
236,197
239,194
243,190
245,187
249,183
253,180
256,177
260,173
264,170
267,167
271,164
275,161
278,159
277,156
273,153
270,151
266,147
262,144
259,141
255,138
251,134
248,131
244,127
240,123
237,120
234,116
230,112
228,109
225,105
222,102
219,98
216,94
214,91
211,87
209,83
206,80
204,76
201,72
198,69
195,65
192,61
190,58
187,54
184,50
181,47
177,43
173,39
170,36
166,33
162,30
159,28
155,25
151,23
148,22
144,20
141,19
137,18
133,17
130,17
126,16
122,15
119,15
115,15
111,15
108,15
104,15
