X,Y,Z
-0.009259,0.060224,0.037892
-0.009082,0.059864,0.037512
-0.00927,0.059453,0.038203
-0.009083,0.059423,0.038271
-0.008756,0.059841,0.03762
-0.008807,0.060199,0.038039
-0.009083,0.059423,0.038271
-0.009225,0.059444,0.038385
-0.008756,0.059841,0.03762
-0.00918,0.060719,0.037602
-0.00895,0.060225,0.037103
-0.008972,0.060847,0.037893
-0.009091,0.060331,0.038155
-0.008031,0.062404,0.036318
-0.0085,0.062182,0.036775
-0.008204,0.061989,0.036714
-0.008315,0.062603,0.036369
-0.007964,0.061863,0.035812
-0.008125,0.061452,0.036173
-0.007087,0.063902,0.032953
-0.007163,0.063496,0.033871
-0.007421,0.063515,0.033778
-0.006856,0.063881,0.033036
-0.006693,0.064382,0.031812
-0.006095,0.064701,0.030671
-0.006262,0.06459,0.030611
-0.006534,0.064517,0.03189
-0.001218,0.065975,0.016127
-0.000932,0.066096,0.015257
-0.000888,0.065916,0.016236
-0.000593,0.066032,0.01537
-0.000961,0.066392,0.015263
-0.000673,0.066197,0.014512
-0.000697,0.066495,0.014505
-0.000432,0.066597,0.014596
-0.000699,0.066494,0.015358
0.000474,0.06662,0.011947
0.000849,0.066334,0.011572
0.000634,0.066535,0.011454
0.000686,0.066422,0.012053
0.000996,0.065769,0.010678
0.001305,0.065899,0.010204
0.001163,0.066054,0.010626
0.001124,0.065613,0.010279
0.001043,0.065022,0.009005
0.001639,0.064303,0.008375
0.001451,0.064951,0.009171
0.001281,0.064363,0.008229
0.001325,0.064578,0.008013
0.00108,0.065312,0.008798
0.001431,0.065407,0.008824
0.001636,0.06465,0.008017
0.001825,0.064496,0.008214
0.001656,0.065213,0.009032
0.001451,0.064951,0.009171
0.001639,0.064303,0.008375
0.000941,0.066261,0.010482
0.001078,0.066109,0.010042
0.000342,0.06643,0.011388
0.000191,0.066516,0.011876
-0.000333,0.066132,0.014627
-0.00048,0.066302,0.015423
-0.000888,0.065916,0.016236
-0.000593,0.066032,0.01537
-0.000781,0.066179,0.016288
-0.000994,0.066367,0.016225
-0.006228,0.064375,0.030598
-0.006657,0.064133,0.031773
-0.006856,0.063881,0.033036
-0.007149,0.063857,0.034063
-0.007163,0.063496,0.033871
-0.006824,0.064165,0.033126
-0.008577,0.060198,0.037232
-0.008646,0.060685,0.037783
-0.008577,0.060198,0.037232
-0.008335,0.061897,0.035678
-0.008125,0.061452,0.036173
-0.008506,0.06149,0.036036
-0.007964,0.061863,0.035812
-0.008713,0.062024,0.03651
-0.008525,0.062436,0.036119
-0.007493,0.06388,0.033934
-0.007126,0.064187,0.033017
-0.007331,0.064052,0.03407
-0.006975,0.064347,0.033113
-0.006425,0.064111,0.031849
-0.005996,0.064353,0.030668
-0.005944,0.06456,0.030706
-0.006383,0.064356,0.031914
-0.001247,0.066264,0.016133
-0.000215,0.066403,0.014668
-0.000333,0.066132,0.014627
0.0007,0.066056,0.011594
0.000197,0.066213,0.011936
0.000342,0.066125,0.011464
0.000546,0.066146,0.012061
0.000731,0.065686,0.010129
0.000626,0.066154,0.010425
0.000748,0.066002,0.009992
0.000616,0.065841,0.010536
-0.006425,0.064111,0.031849
-0.005996,0.064353,0.030668
0.001124,0.065613,0.010279
0.000996,0.065769,0.010678
0.000546,0.066146,0.012061
0.0007,0.066056,0.011594
0.001243,0.065424,0.009898
0.001556,0.06548,0.009405
0.001435,0.065708,0.009799
0.001354,0.065202,0.009527
0.000942,0.065276,0.009362
0.001354,0.065202,0.009527
0.000839,0.065498,0.009739
0.001243,0.065424,0.009898
0.000863,0.065811,0.009575
0.000974,0.065583,0.009173
0.001206,0.065916,0.009617
0.001325,0.065685,0.009208
0.001008,0.066213,0.011094
0.000851,0.065932,0.01113
0.000483,0.066002,0.010995
0.000851,0.065932,0.01113
0.000488,0.066311,0.010902
0.00079,0.066417,0.010963
0.000326,0.066512,0.013121
-3.8e-05,0.066208,0.013785
0.000199,0.06624,0.013103
8.5e-05,0.06648,0.013814
-0.000142,0.066306,0.012985
-3.8e-05,0.066208,0.013785
-0.000378,0.066273,0.013668
0.000199,0.06624,0.013103
-0.000398,0.066572,0.013649
-0.000157,0.066605,0.012953
0.000114,0.066707,0.013033
-0.00013,0.066674,0.013734
-0.00763,0.062618,0.035051
-0.007845,0.062786,0.035897
-0.007798,0.062252,0.03544
-0.007656,0.063122,0.035441
-0.007958,0.062643,0.034931
-0.007798,0.062252,0.03544
-0.008151,0.062282,0.035312
-0.00763,0.062618,0.035051
-0.008321,0.062816,0.035708
-0.008101,0.06315,0.035265
-0.007904,0.063328,0.035474
-0.008114,0.062991,0.035939
-0.008353,0.061576,0.037101
-0.00883,0.061315,0.037552
-0.008499,0.061139,0.037456
-0.008673,0.061763,0.03718
-0.008269,0.061025,0.036514
-0.008419,0.060604,0.036867
-0.008663,0.06106,0.036375
-0.008419,0.060604,0.036867
-0.008809,0.060636,0.036731
-0.008269,0.061025,0.036514
-0.008894,0.061612,0.036896
-0.009049,0.061175,0.037259
0.000309,0.066667,0.012446
3.3e-05,0.066564,0.01237
0.000522,0.066471,0.012541
0.000389,0.066197,0.012535
4.4e-05,0.066263,0.012414
0.000389,0.066197,0.012535
-0.007689,0.063611,0.034972
-0.007465,0.063408,0.034948
-0.007873,0.063434,0.034789
-0.007758,0.062974,0.034524
-0.007458,0.062953,0.034633
-0.007458,0.062953,0.034633
-0.005582,0.0648,0.02922
-0.005425,0.064654,0.029258
-0.005757,0.064689,0.029157
-0.005724,0.064467,0.029145
-0.005483,0.064441,0.029218
-0.005483,0.064441,0.029218
-0.00507,0.064914,0.027771
-0.004907,0.064764,0.027812
-0.005254,0.064804,0.027705
-0.005221,0.064575,0.027694
-0.00497,0.064545,0.027772
-0.00497,0.064545,0.027772
-0.004558,0.065042,0.026322
-0.004389,0.064888,0.026366
-0.00475,0.064934,0.026252
-0.004718,0.064697,0.026243
-0.004457,0.064664,0.026324
-0.004457,0.064664,0.026324
-0.004047,0.065187,0.024875
-0.003871,0.065027,0.024922
-0.004248,0.065079,0.024802
-0.004217,0.064835,0.024794
-0.003946,0.064798,0.02488
-0.003946,0.064798,0.02488
-0.003536,0.065346,0.023429
-0.003354,0.065182,0.023479
-0.003746,0.065239,0.023353
-0.003715,0.064988,0.023344
-0.003434,0.064947,0.023435
-0.003434,0.064947,0.023435
-0.003026,0.06552,0.021985
-0.002838,0.065352,0.022037
-0.003245,0.065414,0.021905
-0.003214,0.065155,0.021898
-0.002924,0.065111,0.021992
-0.002924,0.065111,0.021992
-0.002517,0.065709,0.020542
-0.002323,0.065536,0.020597
-0.002744,0.065604,0.020459
-0.002714,0.065338,0.020452
-0.002414,0.06529,0.02055
-0.002414,0.06529,0.02055
-0.002008,0.065914,0.019101
-0.001808,0.065736,0.019159
-0.002244,0.065809,0.019015
-0.002214,0.065536,0.019009
-0.001905,0.065483,0.019111
-0.001905,0.065483,0.019111
-0.001501,0.066132,0.017662
-0.001294,0.06595,0.017722
-0.001745,0.066029,0.017573
-0.001715,0.065748,0.017566
-0.001396,0.065692,0.017672
-0.001396,0.065692,0.017672
0.014112,0.060436,0.037865
0.01413,0.05967,0.038184
0.013938,0.06007,0.037489
0.013944,0.059639,0.038253
0.01366,0.060409,0.038012
0.013613,0.060046,0.037598
0.013944,0.059639,0.038253
0.014085,0.059662,0.038366
0.013613,0.060046,0.037598
0.013803,0.060425,0.037078
0.014029,0.060928,0.03757
0.013821,0.061057,0.037859
0.013943,0.060544,0.038126
0.012874,0.06259,0.036288
0.013048,0.06218,0.036681
0.013342,0.062377,0.03674
0.013156,0.062791,0.036338
0.012812,0.062043,0.035787
0.012973,0.061636,0.036145
0.011924,0.064053,0.032923
0.01226,0.063674,0.033748
0.012003,0.063653,0.033842
0.011694,0.064031,0.033006
0.01093,0.064829,0.03064
0.011529,0.064522,0.031782
0.011097,0.064719,0.030582
0.011369,0.064657,0.031859
0.005736,0.065943,0.016231
0.005781,0.066121,0.015253
0.006066,0.066004,0.016122
0.005442,0.066056,0.015366
0.005522,0.066217,0.014509
0.005809,0.066418,0.015259
0.005545,0.066515,0.014502
0.005279,0.066617,0.014591
0.005546,0.066519,0.015354
0.004378,0.066631,0.011946
0.004005,0.066343,0.011571
0.004166,0.066432,0.012052
0.004219,0.066545,0.011453
0.003552,0.065906,0.010204
0.003861,0.065776,0.010678
0.003692,0.06606,0.010625
0.003733,0.065619,0.01028
0.003818,0.065027,0.009007
0.003227,0.064306,0.008376
0.003584,0.064367,0.00823
0.003411,0.064955,0.009173
0.00354,0.064582,0.008014
0.003781,0.065317,0.0088
0.00343,0.065411,0.008826
0.003229,0.064653,0.008018
0.00304,0.064498,0.008215
0.003206,0.065216,0.009033
0.003227,0.064306,0.008376
0.003411,0.064955,0.009173
0.003914,0.066268,0.010481
0.003779,0.066116,0.010042
0.004511,0.06644,0.011387
0.004661,0.066527,0.011876
0.005182,0.066151,0.014624
0.005736,0.065943,0.016231
0.005328,0.066325,0.015418
0.005442,0.066056,0.015366
0.005627,0.066206,0.016281
0.005839,0.066395,0.016218
0.011066,0.064503,0.030571
0.011494,0.064272,0.031744
0.011985,0.064016,0.03403
0.011694,0.064031,0.033006
0.012003,0.063653,0.033842
0.011659,0.064315,0.033093
0.013431,0.060396,0.037207
0.013496,0.060892,0.037752
0.013431,0.060396,0.037207
0.012973,0.061636,0.036145
0.013182,0.062079,0.035653
0.013354,0.061676,0.036008
0.012812,0.062043,0.035787
0.013556,0.062217,0.036477
0.013368,0.062624,0.036089
0.011961,0.064338,0.032983
0.012329,0.06404,0.033901
0.011809,0.064498,0.033078
0.012166,0.064212,0.034036
0.011263,0.064249,0.03182
0.01078,0.064687,0.030677
0.010834,0.06448,0.03064
0.011219,0.064494,0.031884
0.006093,0.066293,0.016127
0.005063,0.066422,0.014664
0.005182,0.066151,0.014624
0.004154,0.066065,0.011593
0.004657,0.066225,0.011935
0.004307,0.066157,0.01206
0.004512,0.066135,0.011464
0.004127,0.065694,0.01013
0.00423,0.066162,0.010425
0.004241,0.065849,0.010536
0.004109,0.06601,0.009992
0.011263,0.064249,0.03182
0.010834,0.06448,0.03064
0.003861,0.065776,0.010678
0.003733,0.065619,0.01028
0.004307,0.066157,0.01206
0.004154,0.066065,0.011593
0.003304,0.065484,0.009406
0.003616,0.065429,0.009898
0.003423,0.065712,0.009799
0.003507,0.065207,0.009528
0.00402,0.065505,0.009741
0.003616,0.065429,0.009898
0.003507,0.065207,0.009528
0.003918,0.065282,0.009363
0.003995,0.065818,0.009576
0.003886,0.065589,0.009174
0.003652,0.065922,0.009618
0.003534,0.065689,0.009208
0.003846,0.06622,0.011093
0.004005,0.06594,0.01113
0.004372,0.066011,0.010995
0.004005,0.06594,0.01113
0.004367,0.06632,0.010902
0.004063,0.066425,0.010963
0.004523,0.066526,0.013118
0.004888,0.066223,0.013782
0.004764,0.066494,0.013811
0.004652,0.066255,0.013101
0.004888,0.066223,0.013782
0.004993,0.066322,0.012983
0.005228,0.06629,0.013665
0.004652,0.066255,0.013101
0.005246,0.066588,0.013646
0.005007,0.066621,0.01295
0.004735,0.066722,0.013029
0.004978,0.06669,0.01373
0.012473,0.062788,0.035023
0.012686,0.062966,0.035865
0.012495,0.063297,0.035408
0.012643,0.062427,0.035413
0.012643,0.062427,0.035413
0.012801,0.062815,0.034904
0.012996,0.062459,0.035285
0.012473,0.062788,0.035023
0.013161,0.062998,0.035675
0.012941,0.063327,0.035233
0.012742,0.063505,0.035439
0.012954,0.063173,0.035905
0.0132,0.061773,0.03707
0.013677,0.06152,0.03752
0.013519,0.061963,0.037147
0.013347,0.061341,0.037426
0.01312,0.061214,0.036489
0.013272,0.060798,0.036843
0.013272,0.060798,0.036843
0.013514,0.061252,0.03635
0.013662,0.060832,0.036706
0.01312,0.061214,0.036489
0.013897,0.061379,0.037228
0.013741,0.061811,0.036865
0.004541,0.06668,0.012444
0.004818,0.066578,0.012368
0.00433,0.066483,0.01254
0.004464,0.06621,0.012533
0.004808,0.066277,0.012412
0.004464,0.06621,0.012533
0.012527,0.063782,0.03494
0.012304,0.063577,0.034917
0.012713,0.063605,0.034759
0.0126,0.063142,0.034497
0.0123,0.063119,0.034606
0.0123,0.063119,0.034606
0.010418,0.064914,0.029193
0.010262,0.064768,0.029232
0.010594,0.064804,0.029131
0.010563,0.064582,0.02912
0.010321,0.064555,0.029194
0.010321,0.064555,0.029194
0.009907,0.065016,0.027745
0.009745,0.064865,0.027788
0.010091,0.064907,0.02768
0.010061,0.064677,0.027671
0.00981,0.064647,0.027749
0.00981,0.064647,0.027749
0.009396,0.065133,0.0263
0.009228,0.064977,0.026345
0.009589,0.065025,0.026231
0.009559,0.064788,0.026222
0.009298,0.064754,0.026304
0.009298,0.064754,0.026304
0.008885,0.065266,0.024854
0.008711,0.065105,0.024903
0.009087,0.065159,0.024782
0.009058,0.064915,0.024776
0.008787,0.064876,0.024862
0.008787,0.064876,0.024862
0.008376,0.065414,0.023412
0.008195,0.065249,0.023462
0.008587,0.065308,0.023336
0.008557,0.065057,0.023329
0.008277,0.065015,0.023419
0.008277,0.065015,0.023419
0.007867,0.065579,0.021969
0.00768,0.06541,0.022022
